"sample","family","genus","species","number","length","stage","activity","periodtime","range","scientific"
"POC13004","Carcharhinidae","Carcharhinus","sorrah",1,1005.45946,"AD","Passing",13.21867,2766.69829,"Carcharhinidae Carcharhinus sorrah"
"POC24010","Carcharhinidae","Carcharhinus","sorrah",1,1299.73079,"AD","Passing",31.476,2303.30665,"Carcharhinidae Carcharhinus sorrah"
"POC26005","Carcharhinidae","Carcharhinus","sorrah",1,1039.58363,"AD","Passing",27.25733,1605.69194,"Carcharhinidae Carcharhinus sorrah"
"POC26005","Carcharhinidae","Carcharhinus","plumbeus",1,1282.9603,"AD","Passing",36.53667,1605.62546,"Carcharhinidae Carcharhinus plumbeus"
"POC38002","Fistulariidae","Fistularia","commersonii",1,1140.02427,"AD","Passing",11.05667,3265.14308,"Fistulariidae Fistularia commersonii"
"POC38002","Carcharhinidae","Carcharhinus","sorrah",1,1150.30841,"AD","Passing",56.41733,1761.12106,"Carcharhinidae Carcharhinus sorrah"
"POC12001","Rhynchobatidae","Rhynchobatus","australiae",1,1069.9284,"AD","Passing",50.61467,3368.76831,"Rhynchobatidae Rhynchobatus australiae"
"POC11013","Sphyrnidae","Sphyrna","mokarran",1,1854.48443,"AD","Passing",36.31867,2922.75737,"Sphyrnidae Sphyrna mokarran"
"POC38005","Carcharhinidae","Carcharhinus","sorrah",1,1068.75516,"AD","Passing",17.81,1541.96912,"Carcharhinidae Carcharhinus sorrah"
"POC37003","Carcharhinidae","Carcharhinus","plumbeus",1,1073.38601,"AD","Feeding",36.35333,2055.92706,"Carcharhinidae Carcharhinus plumbeus"
"POC12002","Carcharhinidae","Carcharhinus","sorrah",1,1156.0285,"AD","Passing",13.296,2710.48727,"Carcharhinidae Carcharhinus sorrah"
"POC11009","Carcharhinidae","Carcharhinus","plumbeus",1,1005.40515,"AD","Passing",3.40667,1886.55069,"Carcharhinidae Carcharhinus plumbeus"
"POC12003","Carcharhinidae","Carcharhinus","albimarginatus",1,1733.35266,"AD","Passing",0.02933,3053.82141,"Carcharhinidae Carcharhinus albimarginatus"
"POC12003","Carcharhinidae","Carcharhinus","sorrah",1,1254.64896,"AD","Passing",50.09733,3947.47052,"Carcharhinidae Carcharhinus sorrah"
"POC13008","Carcharhinidae","Carcharhinus","sorrah",1,1054.1527,"AD","Passing",30.062,2112.15262,"Carcharhinidae Carcharhinus sorrah"
"POC39004","Carcharhinidae","Carcharhinus","sorrah",1,1096.68077,"AD","Feeding",54.59467,1793.60633,"Carcharhinidae Carcharhinus sorrah"
"POC38001","Carcharhinidae","Carcharhinus","plumbeus",1,1437.88958,"AD","Passing",43.67467,3013.49091,"Carcharhinidae Carcharhinus plumbeus"
"POC12005","Carcharhinidae","Carcharhinus","albimarginatus",1,1488.76547,"AD","Passing",0.01133,2051.82389,"Carcharhinidae Carcharhinus albimarginatus"
"POC39003","Carcharhinidae","Carcharhinus","plumbeus",1,1041.93263,"AD","Passing",52.95533,1875.75692,"Carcharhinidae Carcharhinus plumbeus"
"POC26004","Carcharhinidae","Carcharhinus","sorrah",1,1252.47277,"AD","Passing",36.01733,2133.79222,"Carcharhinidae Carcharhinus sorrah"
